id,question,answer
1.1,What is the role of a prototype program in problem solving?,To simulate the behaviour of portions of the desired software product.
1.2,What stages in the software life cycle are influenced by the testing stage?,The testing stage can influence both the coding stagephase 5and the solution refinement stagephase 7
1.3,What are the main advantages associated with object-oriented programming?,Abstraction and reusability.
1.4,Where do C plus plus programs begin to execute?,At the main function.
1.5,What is a variable?,A location in memory that can store a value.
1.6,Where are variables declared in a C plus plus program?,Variables can be declared anywhere in a program. They can be declared inside a functionlocal variablesor outside the functionsglobal variables
1.7,What is the main difference between a while and a do ... while statement?,The block inside a do ... while statement will execute at least once.
2.1,What is typically included in a class definition?,Data membersattributesand member functions.
2.2,What is the difference between a data member and a local variable inside a member function?,Data members can be accessed from any member functions inside the class defintion. Local variables can only be accessed inside the member function that defines them.
2.3,What is the difference between a constructor and a function?,"A constructor is called whenever an object is created, whereas a function needs to be called explicitely. Constructors do not have return type, but functions have to indicate a return type."
2.4,When does C plus plus create a default constructor?,"If no constructor is provided, the compiler provides one by default. If a constructor is defined for a class, the compiler does not create a default constructor."
2.5,How many constructors can be created for a class?,Unlimited number.
2.6,What is the difference between a function prototype and a function definition?,"A function prototype includes the function signature, i. e., the name of the function, the return type, and the parameters 's type. The function definition includes the actual body of the function."
2.7,What is the role of a header-file?,"To store a class interface, including data members and member function prototypes."
3.1,What does a function signature include?,The name of the function and the types of the parameters.
3.2,What is the scope of global variables?,File scope.
3.3,How does the compiler handle inline functions?,It makes a copy of the function code in every place where a function call is made.
3.4,What is the main advantage associated with function arguments that are passed by reference?,It avoids making copies of large data structures when calling functions.
3.5,How are overloaded functions differentiated by the compiler?,"Based on the function signature. When an overloaded function is called, the compiler will find the function whose signature is closest to the given function call."
3.6,"When defining a recursive function, what are possible causes for infinite recursion?","If the recursion step is defined incorrectly, or if the base case is not included."
3.7,What are the similarities between iteration and recursion?,They both involve repetition; they both have termination tests; they can both occur infinitely.
4.1,What are the two different ways of specifying the length of an array?,"In the array declaration, or by using an initializer list."
4.2,What is the main difference between strings declared using the type string versus strings declared using an array of characters?,The strings declared using an array of characters have a null element added at the end of the array.
4.3,How are arrays passed to functions?,by reference.
4.4,"What is the difference between an array declared as static, and one that is not?","The arrays declared as static live throughout the life of the program; that is, they are initialized only once, when the function that declares the array it is first called."
4.5,How many dimensions need to be specified when passing a multi-dimensional array as an argument to a function?,"All the dimensions, except the first one."
4.6,Using an index outside the bounds of the array generates an error.  Is this a compilation error or a run-time error?,Run-time error.
4.7,"How are bi-dimensional arrays stored in memory, by rows or by columns?",By rows.
5.1,"In one sentence, what is the main idea implemented by insertion sort?","Taking one array element at a time, from left to right, it inserts it in the right position among the already sorted elements on its left."
5.2,"In one sentence, what is the main idea implemented by selection sort?","Taking one array element at a time, from left to right, it identifies the minimum from the remaining elements and swaps it with the current element."
5.3,"What is the number of operations for insertion sort under a best-case scenario, and what is the best-case scenario?",Nthe length of the arrayoperations achieved for a sorted array.
5.4,What is the base case for a recursive implementation of merge sort?,When the size of the array to be sorted is 1or 2
6.1,What is a pointer?,A variable that contains the address in memory of another variable.
6.2,What does the address -LRB- ADDRESS -RRB- operator return?,The memory address of its operand.
6.3,What does the star -LRB- STAR -RRB- operator return?,An aliassynonymfor the name of the object that its operand points to in memory. It is the dereferencing operator.
6.4,How can an array be addressed in pointer or offset notation?,"By initializing a pointer to point to the first element of the array, and then incrementing this pointer with the index of the array element."
6.5,What does the sizeof operator return?,The size in bytes of its operand.
