id,answer,score,correct
9.5,"queue 's are best with lists, especially if the tail is kept track of, as the list can be dynamically grown without losing track of the head or tail.",5.0,1.0
10.2,the distance from the deepest leaf to the root,5.0,1.0
9.3,Boolean isFullQqueue:: equals rear equals equals MAX QUEUE SIZE-1,5.0,1.0
12.7,push puts an element on the stack pop-takes an element off the stack,5.0,1.0
2.1,"A class is an expanded concept of a data structure, it holds both the data and the functions being executed",4.5,1.0
1.4,C plus plus programs begin execution at the main function.,5.0,1.0
9.3,Keep track of the front and rear indexes. Either: 1Dequeue items by shifting the array left 2Use wrapped configuration,4.0,1.0
11.6,"Iteration, this would be more efficient and has repetition structure.",5.0,1.0
3.6,"Either omitting the base case, or writing the recursion step incorerectly",5.0,1.0
8.5,"in an array based stack you would need to pre-determine a size, where in a list you can increase or decrease the size however you want.",5.0,1.0
9.1,a data structure that performs operations in the order of first in first out FIFO,5.0,1.0
3.2,variables that exist throught the entire script. their values can be changed anytime in the code and fucntions.,4.5,1.0
8.6,Computers convert an infix expression into a postfix expression. They then push the numbers onto a stack and pop them out as they are needed.,5.0,1.0
12.3,"worst to best: n!, n to the power of 3, n to the power of 2, 2 to the power oflog n, loglog n",5.0,1.0
12.3,"From least to greatest: loglog n, 2 to the power oflog n, n to the power of 2, n to the power of 3, n!",5.0,1.0
9.7,a queue,5.0,1.0
12.1,lognsteps,5.0,1.0
12.2,the experimental approach would be to run through the algorithm and see how long it takes,5.0,1.0
6.5,Returns the size of the array in bytes during the program compilation.,4.5,1.0
12.7,Push and pop,5.0,1.0
7.4,By passing the head pointer and going through the list as needed inside the function.,4.0,1.0
12.4,Compare the largest element to the front element and swap data according to value if needed.,4.0,1.0
1.4,C plus plus programs begin execution at the main function.,5.0,1.0
11.2,The access specifiers are public and private.,5.0,1.0
1.7,A while loop will check the statement to make sure it is true before executing. A do while loop will execute before checking the statement to see if it should run again.,5.0,1.0
11.5,A function that calls itself. Usually used to split a problem into several smaller problems of the same type.,5.0,1.0
11.2,public private protected,5.0,1.0
7.5,a basic linked list has an end with a null value where a circular linked list has a pointer from the end to the beginning,5.0,1.0
9.7,queue,5.0,1.0
6.6,"Nonconstant pointer to nonconstant data, nonconstant pointer to constant data, constant pointer to nonconstant data, constant pointer to constant data.",5.0,1.0
3.6,There is no base case. The recursion step does not reduce the problem during each recursive call.,4.5,1.0
9.7,Queue,5.0,1.0
4.2,"the array of characters has a set length, while the type string has virtually unlimited length.",4.0,1.0
5.1,It starts with the second element and checks it to see if it is less than the elementsto the left of it and if it is it inserts it into its corrected position.,5.0,1.0
12.5,Linked lists are able to grow in size. So elements can be added to the list.,5.0,1.0
11.2,Public Private,5.0,1.0
5.2,It runs through and finds the lowestor highestvalue and puts it in its desired position.,4.5,1.0
11.4,"It is what uniquely separates overloaded functions. It includes the return type, and the parameter list of the function.",5.0,1.0
9.5,List-based because memory is not constricted.,5.0,1.0
11.5,"A recursive function is a function that calls itself repeatedly until a base case is achieved. The fundamental idea is to break one large problem into a series of smaller, similar problems.",5.0,1.0
11.7,by defining static array it doese not lose scope in locala function. static array makes programm more scalable. non static array lose scope inside the local function.,4.5,1.0
1.5,A variable is a location in the computers memory where a value can be stored for use by a program,5.0,1.0
12.2,running an algorithm on a specific set of data,4.0,1.0
11.8,a string of characters will have a null character or value at the end of the string,5.0,1.0
7.5,"No Node in a circular linked list contains NULL, the last Node points pack to a Node within the list.",5.0,1.0
4.6,run-time error,5.0,1.0
12.5,"Linked lists have no predefined length, and thus you can have virtually unlimited items in that list.",5.0,1.0
10.6,"the root is in the middle. The left subtree is traversed first, then the root, and finally the right subtree.",5.0,1.0
10.5,"a binary tree with a special organization of data. where the left child of the element is less than it, and the right child is larger than it.",5.0,1.0
1.5,It is a location in the computer 's memory where it can be stored for use by a program.,5.0,1.0
1.4,A C plus plus program will begin to execute at the main function.,5.0,1.0
1.4,they beging to excute at main,5.0,1.0
12.6,"Queue is a buffer, it follows the rule of First In and First out. Queue is very useful in computer science for scheduleing.",5.0,1.0
5.4,the array has one element,5.0,1.0
7.7,"Each node requires an extra pointerspace requirements increased, Insertion or deletion of a node takes a longermore pointer operations.",5.0,1.0
10.6,Left side of treeRootRight side of tree,5.0,1.0
11.4,function name and parameter are called function signature.,5.0,1.0
4.4,"its not created and initialized each time program calls the function, and is not destroyed every time the function ends in the program.",5.0,1.0
3.2,"If a variable is declared global, any function or class can use that variable.",4.5,1.0
8.2,Pop function and Push function,5.0,1.0
1.7,"a do ... while loop will always run through once, while an while loop performs a test before running through the loop.",5.0,1.0
1.7,"while statements will evaluate the statement BEFORE executing a cycle of the loop, including the first cycle, meaning that a while loop will not always execute. A do ... while will run evaluate the statement AFTER running through a cycle of the loop, ensuring that the loop always executes at least one time.",5.0,1.0
4.2,string is a class in the standard library and has method that modify it. Whereas the char array is on able to be modifie by the user.,4.0,1.0
11.1,class name data of class definition of functions and methods,4.5,1.0
4.6,run-time error,5.0,1.0
9.6,enqueue corresponds with push dequeue corresponds with pop,4.5,1.0
6.1,a variable that contains the address of another variable,5.0,1.0
7.4,Passed as a pointer to the head.,4.0,1.0
3.1,The function name and parameters,5.0,1.0
11.3,using constructor,5.0,1.0
3.3,"It replaces all instances of that function call with the inline code itself, resulting in longer but faster programs.",5.0,1.0
2.1,Data members and Member functions,5.0,1.0
2.1,Member functions and data members belonging to the class.,5.0,1.0
9.3,By having the head pointer point to the first or least current data entered and having the tail point to the most current data entered. A method must be created so that the tail pointer does not leave the array.,5.0,1.0
12.5,"Linked lists have a dynamic size, where as arrays have a static size.",5.0,1.0
3.3,The inline keyword advises the compiler to copy the function 's code in place to avoid function calls; however the compiler can and typically does ignore the inline qualifier for all but the smallest functions.,5.0,1.0
1.1,Program that simulates the behavior of portions of the desired software product,5.0,1.0
12.8,"An Euler traversal is a traversal that begins with the root, and travels around the outside of the tree. Each element in the tree is visited 3 times. From the left, from the bottom and from the right.",5.0,1.0
6.1,A pointer is a variable that contains the memory address of a variable that has a value.,5.0,1.0
3.6,no base case no change in values.,4.5,1.0
3.5,"The compiler selects the right function to execute from the number, types and order of arguments in the function call.",5.0,1.0
9.5,list because its size is not defined,5.0,1.0
4.3,a reference pointer to an element in the array.,4.5,1.0
3.6,"it has no base case, or the base case is never met",5.0,1.0
6.5,"it yields the size in bytes of the operand, which can be an expression or the parenthesized name of a type",4.0,1.0
6.2,returns the address number of the specified variable,4.5,1.0
8.1,A stack is an abstract data type that is based on the principle that the last element inserted into the stack will be the first element removed from the stack.,5.0,1.0
6.5,Return size of operand in bytes,5.0,1.0
11.7,"an array that is declared as static will retain the values stored in it is elements between function calls, and will not reinitialize them to default values.",4.5,1.0
3.5,"The compiler selects the proper functions to execute based on number, types and order of arguments in the function call.",5.0,1.0
9.7,Queue of course!,5.0,1.0
11.1,functions and data members,5.0,1.0
8.7,you would pop each element and compare it to what you are looking for and then push it back on the stack so that it is not lost,4.5,1.0
7.7,nodes take up more memory,5.0,1.0
3.5,paremeters,4.5,1.0
9.7,Queue,5.0,1.0
5.4,one element in an array,5.0,1.0
11.8,the one that is type string has an extra string member. The or 0 at the end.,4.0,1.0
3.1,The name of the function and the types of its arguments.,5.0,1.0
11.2,The access-specifiers that can be used in a C plus plus class definition is private and public.,5.0,1.0
10.4,"A binary tree is a set of nodes that is either empty or partitioned into a root node and one or two subsets that are binary subtrees of the root. Each node can have no more than two children, a right and a left child.",5.0,1.0
4.1,"Implicit, namely when you give it values, like 1,2,3,4,5,6,7,8,9, at which the compiler will automatically give this a size. Static, during the declaration.",5.0,1.0
3.6,"Either omitting the base case, or writing the recursion step incorrectly so the it does not reach the base case can cause infinite recursion.",5.0,1.0
7.4,the pointer to the first element is passed to a function,4.0,1.0
7.6,a doubly linked list allows you to back up from a node rather than having to go through the entire list again,4.0,1.0
4.2,"if by type string, the array contains an additional terminating null character",4.0,1.0
3.1,"It includes the name of the program, the type of parameters it can take. It should also include a brief description of what the function does.",4.5,1.0
2.2,A variable inside a member function can only be accessed inside that member and a data member can be accessed throughought the program.,5.0,1.0
10.4,a tree that has a maximum of 2 children per node,5.0,1.0
8.5,List-based. Allows more flexablity with size of the stack.,5.0,1.0
11.1,member functions and data members,5.0,1.0
11.1,merge sort splits the array of elements into smaller arrays until the arrays reach size 1 and then the merge sort merges the smaller arrays into arrays of size 2 then it moves to the next step and merges the next arrays.,5.0,1.0
