answer,correct,question,reference_answer
You could tell if it has the hardest if most of it came off.,0,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.
If just the penny could scratch and the nickel could not the penny is harder.,1,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.
Whichever one was damaged most was less hard.,1,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.
Rub them against a crystal.,0,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.
Which had less scratches.,1,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.
If it makes a scratch or a little dent.,0,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.
Well she can take the penny and the nickel and rub them together.,0,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.
The one that is scratched is softer.,1,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.
She could tell which is harder by getting a rock and seeing if the penny or nickel would scratch it. Whichever one does is harder.,0,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.
Maybe he should scratch even other then when you are done see if one have scratches.,0,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.
It would tell her because she could scratch the penny on the nickel and the nickel on the penny and see which one is scratched.,0,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.
"In order to tell which is harder, else would have to see if the penny and nickel leave a mark to see which is harder.",1,"Carrie wanted to find out which was harder, a penny or a nickel, so she did a scratch test. How would this tell her which is harder?",The harder coin will scratch the other.
